;C_p_expect (J/mol/K);N_eff;Vol_expect (mL/mol);dC_p_expect (J/mol/K);dVol_expect (mL/mol);epsilon values;rmin_half values
0;90.9705893296;1996.0;109.326523237;2.88730150308;9.52239854677;0.1094;1.908
1;58.8732585321;49.353543741;110.304127894;6.65131204869;52.0266514672;0.1094;1.887
2;65.2071684683;75.889225842;110.214125184;6.3309202261;43.2931044682;0.1094;1.88933333333
3;71.5834643334;122.793235937;110.117689925;5.82552800014;35.0949753773;0.1094;1.89166666667
4;77.5361393527;207.354296424;110.015238799;5.22510000855;27.7921802725;0.1094;1.894
5;65.6183944281;78.3256906767;110.017121039;6.17341681853;39.0251553092;0.110466666667;1.887
6;71.7124630038;122.761866885;109.913799917;5.69719237425;32.267259616;0.110466666667;1.88933333333
7;77.3102754638;200.353843592;109.804234258;5.15198128737;26.1621932401;0.110466666667;1.89166666667
8;82.0061438434;335.170126629;109.689505097;4.60635808949;20.9183020363;0.110466666667;1.894
9;71.7482987518;113.460106779;109.717991931;5.75828617308;31.0842170627;0.111533333333;1.887
10;76.9080663749;178.71748619;109.601864195;5.257841291;25.9250603406;0.111533333333;1.88933333333
11;81.1848977763;287.98026546;109.480716001;4.75026436032;21.3310639683;0.111533333333;1.89166666667
12;84.3997799802;463.680269187;109.35625002;4.26495823271;17.4936173128;0.111533333333;1.894
13;76.2331798157;151.998701325;109.411514197;5.52239994719;27.2076896485;0.1126;1.887
14;80.0570014221;234.618956921;109.284415114;5.04821523531;23.0532228733;0.1126;1.88933333333
15;82.9703362262;361.323762738;109.15422725;4.58673093928;19.5018133495;0.1126;1.89166666667
16;85.0663226619;539.703277165;109.022809987;4.1798457628;16.7160400395;0.1126;1.894
17;90.9705893291;1996.0;109.326523237;2.88730150308;9.52239854677;0.1094;1.908
18;88.7636864115;1041.17231612;108.636265812;3.93640804947;15.0523169563;0.1126;1.901
19;89.6383377639;980.401115769;108.514337177;4.3101835651;16.9191123281;0.1126;1.90333333333
20;90.2332793186;809.404955112;108.398726116;4.80958994469;19.4281065611;0.1126;1.90566666667
21;90.3291316522;608.872542486;108.292212162;5.31919543989;22.0809637919;0.1126;1.908
22;89.6855329222;613.277540862;108.307184547;5.73885394915;23.8510107253;0.113633333333;1.901
23;90.6973670175;495.958229914;108.186762776;6.53341825277;28.037729415;0.113633333333;1.90333333333
24;91.0312054161;378.400604316;108.077177044;7.20388964545;31.8618080666;0.113633333333;1.90566666667
25;90.4972735969;284.372160954;107.982118993;7.62977489466;34.6569038126;0.113633333333;1.908
26;91.3704569234;269.179014811;107.977339612;8.98735022668;40.6257313377;0.114666666667;1.901
27;91.926167926;202.132455797;107.861151673;9.89464169602;46.4881309641;0.114666666667;1.90333333333
28;91.398744587;156.36542908;107.762146601;10.3539549728;50.3612362876;0.114666666667;1.90566666667
29;89.8335783209;126.242247608;107.683717585;10.373193943;51.8534272132;0.114666666667;1.908
30;92.7537452446;101.128350567;107.644183192;12.9851366643;64.8662566608;0.1157;1.901
31;92.1141106226;78.1904755344;107.538046345;13.415114421;70.3495379365;0.1157;1.90333333333
32;90.3250591083;65.2395818164;107.456092137;13.2635520086;72.4734074506;0.1157;1.90566666667
33;87.7100781056;58.1154008966;107.399719959;12.7205368875;71.4593737442;0.1157;1.908
34;90.97058933;1996.0;109.326523237;2.88730150308;9.52239854677;0.1094;1.908
35;97.5069083397;743.872537589;110.288107656;5.37649568365;21.7401200809;0.1058;1.914
36;99.0824661824;658.895296747;110.20987707;5.71966677693;25.7695591527;0.1058;1.916
37;101.099519283;478.557726458;110.13652452;6.67566313827;34.8510024445;0.1058;1.918
38;103.892231938;297.248174023;110.070474563;8.56591537108;49.6888269676;0.1058;1.92
39;95.2962760424;1253.10014418;109.863914361;4.14557770618;15.4953011932;0.107;1.914
40;95.9928932763;1044.29725195;109.771620363;4.60119771314;18.8333090845;0.107;1.916
41;96.9801039564;749.097461212;109.681486974;5.61592850463;24.8366812686;0.107;1.918
42;98.2364556869;472.683571802;109.595047058;7.32026661818;33.3559452337;0.107;1.92
43;92.5888072295;1469.22517154;109.437636462;3.43810466365;12.124594089;0.1082;1.914
44;92.6200016701;1085.24709304;109.339734145;3.91112578814;14.3770974589;0.1082;1.916
